"id","title","descriptionHtml","url","imageUrl","images","price","compareAtPrice","currencyCode","currencySymbol","inventory"
"204","Clip In Hair Extensions Travel Carrier Storage Bag + Hanger - Black/Gold","Keep your hair extensions safe, undamaged and tangle-free with our clip-in hair extension hanger and case here at Foxy Locks. Made with grip padding, our hair extension hanger holds extension wefts securely, making brushing and styling your extensions quick and easy. It's also perfect for air-drying your extensions after washing them! Our hair extension case and hanger is perfect for styling and storing your hair extensions at home, as well as keeping them protected and ready-to-wear when travelling.

Hook for easy styling of your extensions

Extremely lightweight & discreet

Can be folded or rolled up

Perfect for travelling

Case - 13.5"" W x 24.5"" L

Hanger - 10"" W x 6.5"" L","https://foxylocks.com/clip-in-hair-extensions-carrier-storage-case-with-hanger-blackgold/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/204/images/4147/Travel_bag_for_hair_extensions_storage__81803.1775240854.386.513.jpg?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/204/images/2286/1628160814-78553900__41260-Photoroom_1__23846.1775240661.386.513.png?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/204/images/1385/1628160820-73961200__45158.1775241466.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/204/images/4148/hair_extensions_hanger_for_clip_ins__28881.1775241466.386.513.jpg?c=1","22.00","22.00","GBP","£","562"
"205","Snap Clips - Loose (5 clips)","Style your hair and pin back flyaways with our range of snap clips here at Foxy Locks. Designed in three natural colourways - blonde, brown and black - you can wear our snap clips to complement or contrast with your hair colour, or mix and match! These basic staples are ideal for keeping in your bag whenever you want to clip your hair out of your face or secure an up-'do in place.

Secure snap-clip closure

Black, brown & blonde colours

Pack of 5","https://foxylocks.com/snap-clips-loose-5-clips/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/205/images/1383/1431519264-49191500__75685.1675795686.386.513.jpg?c=1","","2.00","2.00","GBP","£","564"
"274","Cocoa - Wrap Ponytail Clip In Hair Extensions 12 / 16 / 22 Inch","100% human hair wrap around Ponytail Extensions - Clip, wrap & go

Colour: Cocoa *As seen on Milly Bobby Brown

Shade Guide: Warm

Available in 12"", 16""and 22""

Discover the elegance and simplicity of our clip-in Ponytails, designed for a secure and comfortable fit with a smart comb and velcro attachment. Choose from three different lengths to perfectly match your style needs. Each Ponytail features thick, full ends for a naturally voluminous look from root to tip.

Crafted with premium quality hair, these Ponytails blend seamlessly with your own hair, offering a natural and polished appearance. They're not just about length; they add instant volume and a touch of glamour to your hairstyle in minutes.

Made from 100% human hair, our Ponytails are versatile enough to be styled just the way you like. Whether it's for a special occasion or everyday wear, upgrading your ponytail has never been easier.","https://foxylocks.com/cocoa-wrap-ponytail-clip-in-hair-extensions-12-16-22-inch/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/4342/Cocoa__37077__20128.1782310453.386.513.webp?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2130/26_inch_Ponytail_Cocoa_-_Millie_Bobby_Brown_from_Stranger_Things_hair_style__95261.1782310453.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/4468/chloeadair1_19__22658.1786014832.386.513.webp?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/1992/Cocoa_wm__46198.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/1190/1553030648-04771800__99319.1782310453.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2135/COCOA_FOXY_LOCKS_WRAP_AROUND_PONYTAIL_CLIP_IN_EXTENSIONS-__32072.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2134/Foxy_Locks_ponytail_shade__82472.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2129/12_Ponytail_Latte_Blonde-__97174.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2132/16_Ponytail_Brondie-__76837.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2133/22_Ponytail_Hollywood_Blonde_3__34939.1786014832.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/274/images/2131/26_Ponytail_Brown_Black_1-__07412.1786014832.386.513.jpg?c=1","79.00","79.00","GBP","£","110"
"276","Surprise Gift","We will surprise you with one of our amazing accessories !","https://foxylocks.com/gift/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/276/images/1186/1529524615-58784100__63302.1675795696.386.513.jpg?c=1","","4.80","6.00","GBP","£","30"
"295","Curling Wand | Gold Plated Titanium 32mm Hair Styling Tool - Curler","Curling Wand | Gold Plated Titanium 32mm Hair Styling Tool

Create big bouncy curls or brushed out Hollywood waves, a professional styling tool that will give you beautiful glossy curls thanks to the titanium plated barrel.

The 32mm titanium barrel technology has fast heat distribution and even heat-conduction, which helps eliminate damaging hot spots. Deliberately designed without a clip, the wand allows you to create kink-free curls, while the protective cool tip keeps fingers safe during styling. With negative ionic technology that eliminates frizz and helps protect your hair from damage, leaving hair smooth and shiny.
Our curling wand barrel is longer than most available online & in shops, which makes it ideal for hair extensions & longer hair - suitable for all hair lengths.

Programmed with multiple heat settings from 80-220&Acirc;&deg;C and automatic shut off after 120 minutes of inactivity for peace of mind. Included with your wand is a dual protective heat mat & pouch, which allows you to safely place your wand down during use & store without any worry. The wand also comes with six sectioning hair clips, a heat protective glove & an additional velvet pouch for storing your wand. EU & US/AUS adapters for international use.

Features:

32mm / 1.25"" gold-plated curling wand

Extra long barrel wand designed for long hair & hair extensions

Suitable for all hair lengths

Titanium barrel technology

Fast heat up within 30 seconds

Multiple heat settings 80-220&Acirc;&deg;C / 176-428&Acirc;&deg;F

Protective cool tip & soft touch handle

Safety 'press & hold' to turn on button

Sleep Mode / Automatic shut off

Sleek design

Universal voltage (110V-240V 50/60HZ 45W)

360&Acirc;&deg; Swivel professional length cord (2 metres)

UK plug with additional EU & US/AUS adapter","https://foxylocks.com/curling-wand-gold-plated-titanium-32mm-hair-styling-tool/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/3536/Hair_awards__29528.1741949203.386.513.png?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/2982/Curling_wand__30952.1737994028.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/3029/Curling__86887.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1135/1611055954-80871300__79887.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1131/1611055953-23270300__22445.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1125/1611055964-07378300__43720.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1134/1611055959-37583000__31574.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1133/1611055961-06361500__36089.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1132/1611055968-69742400__34302.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1130/1611055965-76205400__47430.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1126/1611055967-19356800__44876.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1128/1611055970-64615200__31248.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1129/1611055956-33606300__63905.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1127/1611055957-81319700__20889.1741949203.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/295/images/1136/1611055962-55849200__98996.1741949203.386.513.jpg?c=1","75.00","75.00","GBP","£","1130"
"296","Brown Black - Wrap Ponytail Clip In Hair Extensions 12 / 16 / 22 Inch","100% human hair wrap around Ponytail Extensions - Clip, wrap & go

Colour: Brown Black

Shade Guide: Warm

Available in 12"", 16"" and 22""

Discover the elegance and simplicity of our clip-in Ponytails, designed for a secure and comfortable fit with a smart comb and velcro attachment. Choose from four different lengths to perfectly match your style needs. Each Ponytail features thick, full ends for a naturally voluminous look from root to tip.

Crafted with premium quality hair, these Ponytails blend seamlessly with your own hair, offering a natural and polished appearance. They're not just about length; they add instant volume and a touch of glamour to your hairstyle in minutes.

Made from 100% human hair, our Ponytails are versatile enough to be styled just the way you like. Whether it's for a special occasion or everyday wear, upgrading your ponytail has never been easier.","https://foxylocks.com/brown-black-wrap-ponytail-clip-in-hair-extensions-12-16-22-inch/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/4337/Brown-Black_swatch__55553__04716.1782310218.386.513.webp?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/4478/chloeadair1_40__25873.1786019265.386.513.webp?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/1991/Brown_Black_wm__12069.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/1123/1557231766-56392800__64343.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/1124/1557231760-93753900__16209.1782310218.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/2124/12_Ponytail_Latte_Blonde-__91454.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/2128/16_Ponytail_Brondie-__43258.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/2127/22_Ponytail_Hollywood_Blonde_3__91430.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/2125/26_Ponytail_Brown_Black_1_-__26431.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/1122/foxy-locks-brown-black-wrap-ponytail-clip-in-hair-extensions-12-16-22-26-inch-p435-4654_image__85509.1786019265.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/296/images/2126/26_inch_Ponytail_Cocoa_-_Millie_Bobby_Brown_from_Stranger_Things_hair_style__14984.1782310218.386.513.jpg?c=1","79.00","79.00","GBP","£","204"
"298","L'amore Lashes ~ Luxury Silk Lashes ~ LIA","DETAILS

A unique and effortlessly chic lash! Lia adds instant definition and length to your look. These are super long, and perfect for those wanting to add length to their lashes and slight volume. The innovative variation of cluster lashes and a jet black band adds volume and depth to your lashes where needed.

Volume

Extra Full

Length/Width

L: 15mm W: 30mm

Material

Luxury Silk

Band

Handcrafted cotton band","https://foxylocks.com/lamore-lashes-luxury-silk-lashes-lia/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/298/images/1421/lamore-lashes-luxury-silk-lashes-lia-p419-2352_image__46714.1675795689.386.513.jpg?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/298/images/1418/lamore-lashes-luxury-silk-lashes-lia-p419-2352_image__22427.1785850112.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/298/images/1417/lamore-lashes-luxury-silk-lashes-lia-p419-2353_image__26039.1675795689.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/298/images/1419/lamore-lashes-luxury-silk-lashes-lia-p419-1278_image__66269.1675795689.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/298/images/1420/lamore-lashes-luxury-silk-lashes-lia-p419-1279_image__54701.1675795689.386.513.jpg?c=1","3.50","12.00","GBP","£","133"
"300","L'amore Lashes ~ Luxury Silk Lashes ~ ISABELLA","Up your lash game with Isabella! Lash graduation to the max, style with emphasised volume, curl and length to the centre of your lashes. This wispy style will compliment any eye make up look!

Volume

Medium

Length/Width

L: 13mm W: 27mm

Material

Premium Mink

Band

Invisible Band","https://foxylocks.com/lamore-lashes-luxury-silk-lashes-isabella/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/300/images/1412/lamore-lashes-luxury-silk-lashes-isabella-p424-2334_image__13332.1785850136.386.513.jpg?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/300/images/1409/lamore-lashes-luxury-silk-lashes-isabella-p424-4574_medium__96378.1785850136.386.513.png?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/300/images/1410/lamore-lashes-luxury-silk-lashes-isabella-p424-2335_image__10032.1675795691.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/300/images/1411/lamore-lashes-luxury-silk-lashes-isabella-p424-1285_image__81858.1675795691.386.513.png?c=1","3.50","12.00","GBP","£","110"
"301","L'amore Lashes ~ Luxury Silk Lashes ~ SOPHIA","Want a lash for all occasions? Sophia is the perfect lash for you! From the L'amore silk collections, this is a lash that is effortlessly flirtatious! The variation of lengths, densities and cluster sizes means this is a must have any lash loves collection! Each individual lash is gently graduating in length adding volume from the middle to outer edge to create a flawless finish.

Volume

Medium

Length/Width

L: 12mm W: 30mm

Material

Luxury Silk

Band

Invisible Band","https://foxylocks.com/lamore-lashes-luxury-silk-lashes-sophia/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/301/images/1408/lamore-lashes-luxury-silk-lashes-sophia-p426-2361_medium__16227.1675795692.386.513.jpg?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/301/images/1406/lamore-lashes-luxury-silk-lashes-sophia-p426-2362_image__01489.1675795691.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/301/images/1405/lamore-lashes-luxury-silk-lashes-sophia-p426-2292_image__59586.1675795691.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/301/images/1407/lamore-lashes-luxury-silk-lashes-sophia-p426-1289_image__49930.1675795692.386.513.png?c=1","3.50","12.00","GBP","£","188"
"302","L'amore Lashes ~ Eyelash Curler ~ Rose Gold","Curl your lashes to perfect with the L'amore Lashes Rose Gold Eyelash Curler here at Foxy Locks. A makeup bag essential, this L'amore Lashes Rose Gold Eyelash Curler is a foolproof device that achieves an enviable lash look in a matter of seconds. Complete with silicone pads to cushion the lashes, this must-have rose gold eyelash curler delivers an effortless, long-lasting curl that helps define your eyes and make the most of your natural lashes.

Rose gold eyelash curler

Silicone cushion

Easy for everyday use and travel","https://foxylocks.com/lamore-lashes-eyelash-curler-rose-gold/","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/302/images/1404/lamore-lashes-eyelash-curler-rose-gold-p428-1291_medium__27863.1675795692.386.513.jpg?c=1","https://cdn11.bigcommerce.com/s-b45rv8lmxa/products/302/images/2245/lash_eyelash_rose_gold_eyelash_curler_review_before_and_after__61042.1717229410.386.513.jpg?c=1","2.00","4.00","GBP","£","2708"
